temp1,temp2,trans1,trans2
30.69,30.50,0,0
30.69,30.50,0,0
30.69,30.50,0,0
30.69,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.62,30.44,0,0
30.56,30.44,0,0
30.56,30.37,0,0
30.56,30.37,0,0
30.56,30.37,0,0
30.56,30.37,0,0
30.56,30.44,0,0
30.56,30.37,0,0
30.56,30.37,0,0
30.50,30.37,0,0
30.56,30.37,0,0
30.50,30.37,0,0
30.50,30.37,0,0
30.50,30.37,0,0
30.50,30.37,0,0
30.50,30.37,0,0
30.50,30.37,0,0
30.50,30.37,0,0
30.44,30.31,0,0
30.44,30.31,0,0
30.44,30.31,0,0
30.44,30.31,0,0
30.44,30.31,0,0
30.37,30.31,0,0
30.37,30.31,0,0
30.37,30.31,0,0
30.37,30.31,0,0
30.37,30.31,0,0
30.37,30.31,0,0
30.37,30.31,0,0
30.37,30.31,0,0
30.37,30.25,0,0
30.37,30.25,0,0
30.31,30.25,0,0
30.31,30.25,0,0
30.31,30.25,0,0
30.31,30.25,0,0
30.31,30.25,0,0
30.31,30.19,0,0
30.31,30.19,0,0
30.31,30.25,0,0
30.31,30.25,0,0
30.31,30.19,0,0
30.31,30.25,0,0
30.31,30.19,0,0
30.31,30.25,0,0
30.31,30.25,0,0
30.31,30.19,0,0
30.31,30.25,0,0
30.31,30.19,0,0
30.31,30.25,0,0
30.31,30.25,0,0
30.25,30.19,0,0
30.31,30.19,0,0
30.25,30.19,0,0
30.25,30.19,0,0
30.25,30.19,0,0
30.25,30.19,0,0
30.25,30.19,0,0
30.25,30.12,0,0
30.25,30.12,0,0
30.25,30.12,0,0
30.25,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.12,30.12,0,0
30.19,30.12,0,0
30.19,30.12,0,0
30.12,30.12,0,0
30.19,30.12,0,0
30.12,30.12,0,0
30.12,30.12,0,0
30.12,30.12,0,0
30.12,30.12,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.12,0,0
30.12,30.12,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.12,30.06,0,0
30.06,30.06,0,0
30.12,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.12,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.06,0,0
30.06,30.06,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,30.00,0,0
30.00,29.94,0,0
29.94,30.00,0,0
29.94,29.94,0,0
30.00,30.00,0,0
29.94,29.94,0,0
29.94,29.94,0,0
29.94,29.94,0,0
29.94,30.00,0,0
29.94,29.94,0,0
29.94,29.94,0,0
29.94,29.94,0,0
29.94,29.94,0,0
29.94,29.94,0,0
29.94,29.94,1,0
29.94,29.94,1,0
29.94,29.94,1,0
30.00,29.94,1,0
30.00,29.94,1,0
30.06,29.94,1,0
30.12,29.94,1,0
30.25,29.94,1,0
30.31,29.94,1,0
30.44,29.94,1,0
30.56,29.94,1,0
30.69,29.94,1,0
30.81,29.94,1,0
30.94,29.94,1,0
31.12,29.94,1,0
31.25,29.94,1,0
31.37,29.94,1,0
31.56,29.94,1,0
31.69,29.94,1,0
31.81,29.94,1,0
32.00,29.94,1,0
32.13,29.94,1,0
32.31,29.94,1,0
32.44,29.94,1,0
32.56,29.94,1,0
32.75,29.94,1,0
32.88,29.94,1,0
33.06,29.94,1,0
33.19,29.94,1,0
33.31,29.94,1,0
33.44,29.94,1,0
33.63,30.00,1,0
33.75,30.00,1,0
33.88,30.00,1,0
34.00,30.00,1,0
34.19,30.00,1,0
34.31,30.00,1,0
34.44,30.00,1,0
34.56,30.00,1,0
34.69,30.00,1,0
34.81,30.00,1,0
34.94,30.00,1,0
35.06,30.00,1,0
35.19,30.00,1,0
35.31,30.00,1,0
35.44,30.06,1,0
35.56,30.06,1,0
35.69,30.06,1,0
35.81,30.06,1,0
35.94,30.06,1,0
36.00,30.06,1,0
36.13,30.12,1,0
36.25,30.12,1,0
36.31,30.12,1,0
36.44,30.12,1,0
36.56,30.12,1,0
36.63,30.12,1,0
36.75,30.12,1,0
36.81,30.12,1,0
36.94,30.12,1,0
37.06,30.19,1,0
37.13,30.19,1,0
37.19,30.19,1,0
37.31,30.19,1,0
37.38,30.19,1,0
37.50,30.25,1,0
37.56,30.25,1,0
37.69,30.25,1,0
37.75,30.25,1,0
37.88,30.25,1,0
37.94,30.31,1,0
38.00,30.31,1,0
38.06,30.31,1,0
38.19,30.31,1,0
38.25,30.31,1,0
38.31,30.31,1,0
38.44,30.37,1,0
38.50,30.37,1,0
38.56,30.37,1,0
38.63,30.37,1,0
38.69,30.37,1,0
38.75,30.37,1,0
38.81,30.37,1,0
38.88,30.44,1,0
39.00,30.44,1,0
39.06,30.44,1,0
39.13,30.44,1,0
39.25,30.50,1,0
39.31,30.50,1,0
39.31,30.50,1,0
39.44,30.50,1,0
39.50,30.50,1,0
39.56,30.56,1,0
39.63,30.56,1,0
39.69,30.56,1,0
39.75,30.56,1,0
39.81,30.56,1,0
39.88,30.62,1,0
39.88,30.62,1,0
39.94,30.62,1,0
40.00,30.62,1,0
40.06,30.62,1,0
40.06,30.62,1,0
40.13,30.69,1,0
40.19,30.69,1,0
40.25,30.69,1,0
40.31,30.69,1,0
40.31,30.69,1,0
40.38,30.75,1,0
40.44,30.75,1,0
40.50,30.75,1,0
40.56,30.75,1,0
40.63,30.75,1,0
40.63,30.81,1,0
40.69,30.81,1,0
40.75,30.81,1,0
40.75,30.81,1,0
40.81,30.81,1,0
40.81,30.81,1,0
40.88,30.87,1,0
40.94,30.87,1,0
41.00,30.87,1,0
41.00,30.87,1,0
41.00,30.87,1,0
41.06,30.87,1,0
41.06,30.87,1,0
41.13,30.94,1,0
41.19,30.94,1,0
41.19,30.94,1,0
41.25,30.94,1,0
41.25,30.94,1,0
41.31,30.94,1,0
41.38,31.00,1,0
41.38,31.00,1,0
41.38,31.00,1,0
41.44,31.00,1,0
41.44,31.00,1,0
41.50,31.06,1,0
41.50,31.06,1,0
41.56,31.06,1,0
41.56,31.06,1,0
41.63,31.06,1,0
41.63,31.06,1,0
41.69,31.12,1,0
41.75,31.12,1,0
41.75,31.12,1,0
41.81,31.12,1,0
41.81,31.12,1,0
41.88,31.12,1,0
41.94,31.19,1,0
41.94,31.19,1,0
42.00,31.19,1,0
42.00,31.19,1,0
42.06,31.19,1,0
42.06,31.19,1,0
42.06,31.25,1,0
42.13,31.25,1,0
42.13,31.25,1,0
42.13,31.25,1,0
42.19,31.25,1,0
42.25,31.25,1,0
42.25,31.25,1,0
42.25,31.25,1,0
42.31,31.31,1,0
42.31,31.31,1,0
42.31,31.31,1,0
42.38,31.31,1,0
42.38,31.31,1,0
42.38,31.31,1,0
42.44,31.31,1,0
42.44,31.37,1,0
42.44,31.37,1,0
42.50,31.37,1,0
42.50,31.37,1,0
42.56,31.44,1,0
42.56,31.37,1,0
42.56,31.44,1,0
42.63,31.44,1,0
42.63,31.44,1,0
42.69,31.44,1,0
42.63,31.44,1,0
42.69,31.44,1,0
42.69,31.44,1,0
42.69,31.44,1,0
42.75,31.44,1,0
42.75,31.50,1,0
42.75,31.50,1,0
42.75,31.50,1,0
42.75,31.50,1,0
42.75,31.50,1,0
42.81,31.50,1,0
42.81,31.50,1,0
42.81,31.50,1,0
42.81,31.50,1,0
42.81,31.50,1,0
42.81,31.50,1,0
42.88,31.50,1,0
42.88,31.56,1,0
42.94,31.56,1,0
42.94,31.56,1,0
42.94,31.56,1,0
42.94,31.56,1,0
42.94,31.56,1,0
42.94,31.56,1,0
43.00,31.56,1,0
42.94,31.56,1,0
43.00,31.56,1,0
43.00,31.56,1,0
43.00,31.56,1,0
43.00,31.62,1,0
43.06,31.62,1,0
43.06,31.62,1,0
43.06,31.62,1,0
43.06,31.62,1,0
43.06,31.62,1,0
43.06,31.62,1,0
43.06,31.62,1,0
43.13,31.62,1,0
43.13,31.62,1,0
43.13,31.69,1,0
43.13,31.69,1,0
43.13,31.69,1,0
43.19,31.69,1,0
43.19,31.69,1,0
43.25,31.69,1,0
43.19,31.75,1,0
43.25,31.75,1,0
43.25,31.75,1,0
43.25,31.75,1,0
43.25,31.75,1,0
43.25,31.75,1,0
43.25,31.75,1,0
43.31,31.75,1,0
43.31,31.75,1,0
43.31,31.75,1,0
43.31,31.81,1,0
43.31,31.75,1,0
43.31,31.75,1,0
43.31,31.81,1,0
43.38,31.81,1,0
43.38,31.81,1,0
43.38,31.81,1,0
43.44,31.81,1,0
43.44,31.87,1,0
43.44,31.87,1,0
43.44,31.87,1,0
43.44,31.87,1,0
43.50,31.87,1,0
43.50,31.87,1,0
43.50,31.87,1,0
43.50,31.87,1,0
43.50,31.87,1,0
43.50,31.87,1,0
43.50,31.87,1,0
43.50,31.87,1,0
43.44,31.87,1,0
43.44,31.87,1,0
43.44,31.87,1,0
43.44,31.87,1,0
43.44,31.94,1,0
43.44,31.87,1,0
43.44,31.87,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.50,31.94,1,0
43.56,31.94,1,0
43.56,31.94,1,0
43.56,32.00,1,0
43.56,32.00,1,0
43.56,32.00,1,0
43.56,32.00,1,0
43.56,32.00,1,0
43.56,32.00,1,0
43.56,32.00,1,0
43.56,32.00,1,0
43.56,32.00,1,0
43.63,32.00,1,0
43.63,32.00,1,0
43.63,32.00,1,0
43.63,32.06,1,0
43.69,32.06,1,0
43.69,32.06,1,0
43.69,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.69,32.06,1,0
43.69,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.81,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.81,32.06,1,0
43.75,32.06,1,0
43.75,32.06,1,0
43.69,32.06,1,0
43.75,32.06,1,0
43.75,32.13,1,0
43.75,32.13,1,0
43.75,32.06,1,0
43.75,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.75,32.13,1,0
43.75,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.81,32.13,1,0
43.88,32.13,1,0
43.88,32.13,1,0
43.88,32.13,1,0
43.81,32.13,1,0
43.88,32.13,1,0
43.88,32.13,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.94,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.19,1,0
43.94,32.25,1,0
44.00,32.19,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.00,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.25,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.13,32.31,1,0
44.19,32.31,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.13,32.38,1,0
44.19,32.38,1,0
44.19,32.31,1,0
44.19,32.31,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.25,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.25,32.44,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.25,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.38,0,0
44.19,32.44,0,0
44.19,32.38,0,0
44.19,32.44,0,0
44.13,32.38,0,0
44.06,32.38,0,0
43.94,32.38,0,0
43.88,32.38,0,0
43.75,32.38,0,0
43.63,32.38,0,0
43.50,32.38,0,0
43.38,32.38,0,0
43.25,32.38,0,0
43.13,32.38,0,0
43.00,32.38,0,0
42.81,32.38,0,0
42.69,32.38,0,0
42.50,32.38,0,0
42.38,32.38,0,0
42.19,32.38,0,0
42.00,32.38,0,0
41.88,32.38,0,0
41.69,32.38,0,0
41.56,32.38,0,0
41.38,32.38,0,0
41.25,32.38,0,0
41.06,32.38,0,0
40.88,32.31,0,0
40.75,32.31,0,0
40.56,32.31,0,0
40.44,32.31,0,0
40.25,32.31,0,0
40.13,32.31,0,0
40.00,32.31,0,0
39.88,32.31,0,0
39.75,32.31,0,0
39.56,32.25,0,0
39.38,32.25,0,0
39.25,32.25,0,0
39.13,32.25,0,0
39.00,32.25,0,0
38.88,32.25,0,0
38.75,32.25,0,0
38.56,32.19,0,0
38.44,32.19,0,0
38.38,32.19,0,0
38.25,32.19,0,0
38.13,32.19,0,0
38.00,32.19,0,0
37.88,32.19,0,0
37.75,32.19,0,0
37.69,32.19,0,0
37.56,32.13,0,0
37.44,32.13,0,0
37.31,32.13,0,0
37.25,32.13,0,0
37.13,32.13,0,0
37.00,32.13,0,0
36.88,32.06,0,0
36.81,32.06,0,0
36.75,32.06,0,0
36.69,32.06,0,0
36.56,32.06,0,0
36.50,32.06,0,0
36.44,32.06,0,0
36.38,32.06,0,0
36.31,32.06,0,0
36.25,32.06,0,0
36.13,32.06,0,0
36.06,32.06,0,0
36.00,32.00,0,0
35.88,32.06,0,0
35.81,32.00,0,0
35.69,32.00,0,0
35.63,32.00,0,0
35.56,32.00,0,0
35.44,31.94,0,0
35.38,31.94,0,0
35.31,31.94,0,0
35.25,31.94,0,0
35.19,31.94,0,0
35.13,31.94,0,0
35.06,31.87,0,0
34.94,31.87,0,0
34.88,31.87,0,0
34.81,31.87,0,0
34.75,31.87,0,0
34.69,31.81,0,0
34.63,31.81,0,0
34.56,31.75,0,0
34.50,31.75,0,0
34.44,31.75,0,0
34.38,31.75,0,0
34.31,31.69,0,0
34.25,31.69,0,0
34.19,31.69,0,0
34.13,31.69,0,0
34.06,31.69,0,0
34.00,31.62,0,0
33.94,31.62,0,0
33.88,31.62,0,0
33.81,31.62,0,0
33.75,31.56,0,0
33.69,31.56,0,0
33.63,31.56,0,0
33.56,31.56,0,0
33.56,31.56,0,0
33.50,31.50,0,0
33.38,31.50,0,0
33.38,31.50,0,0
33.25,31.44,0,0
33.19,31.44,0,0
33.13,31.44,0,0
33.06,31.37,0,0
33.06,31.37,0,0
33.00,31.37,0,0
32.94,31.31,0,0
32.88,31.31,0,0
32.81,31.25,0,0
32.81,31.25,0,0
32.75,31.25,0,0
32.75,31.25,0,0
32.69,31.25,0,0
32.69,31.25,0,0
32.63,31.25,0,0
32.56,31.25,0,0
32.56,31.19,0,0
32.50,31.19,0,0
32.44,31.19,0,0
32.44,31.12,0,0
32.38,31.12,0,0
32.38,31.12,0,0
32.31,31.12,0,0
32.31,31.12,0,0
32.25,31.06,0,0
32.25,31.06,0,0
32.25,31.06,0,0
32.19,31.06,0,0
32.19,31.00,0,0
32.13,31.00,0,0
32.13,31.00,0,0
32.06,31.00,0,0
32.06,31.00,0,0
32.00,30.94,0,0
32.00,30.94,0,0
31.94,30.94,0,0
31.94,30.94,0,0
31.87,30.94,0,0
31.87,30.94,0,0
31.87,30.87,0,0
31.81,30.87,0,0
31.81,30.87,0,0
31.81,30.87,0,0
31.75,30.87,0,0
31.75,30.87,0,0
31.69,30.87,0,0
31.69,30.81,0,0
31.62,30.81,0,0
31.62,30.81,0,0
31.62,30.81,0,0
31.62,30.81,0,0
31.56,30.81,0,0
31.56,30.81,0,0
31.56,30.81,0,0
31.56,30.81,0,0
31.56,30.75,0,0
31.50,30.81,0,0
31.50,30.75,0,0
31.44,30.75,0,0
31.44,30.75,0,0
31.44,30.75,0,0
31.37,30.75,0,0
31.37,30.75,0,0
31.37,30.75,0,0
31.31,30.69,0,0
31.31,30.69,0,0
31.31,30.69,0,0
31.31,30.69,0,0
31.25,30.69,0,0
31.25,30.69,0,0
31.25,30.69,0,0
31.25,30.69,0,0
31.19,30.69,0,0
31.19,30.62,0,0
31.12,30.62,0,0
31.12,30.56,0,0
31.12,30.56,0,0
31.12,30.56,0,0
31.06,30.56,0,0
31.06,30.56,0,0
31.06,30.56,0,0
31.06,30.56,0,0
31.06,30.56,0,0
31.06,30.56,0,0
31.00,30.56,0,0
31.00,30.56,0,0
31.00,30.56,0,0
31.00,30.50,0,0
30.94,30.50,0,0
30.94,30.50,0,0
30.94,30.50,0,0
30.87,30.50,0,0
30.87,30.50,0,0
30.87,30.50,0,0
30.87,30.44,0,0
30.81,30.44,0,0
30.81,30.44,0,0
30.81,30.44,0,0
30.81,30.44,0,0
30.81,30.44,0,0
30.81,30.44,0,0
30.81,30.44,0,0
30.75,30.44,0,0
30.75,30.44,0,0
30.75,30.37,0,0
30.75,30.37,0,0
30.75,30.37,0,0
30.69,30.37,0,0
30.69,30.37,0,0
30.69,30.37,0,0
30.69,30.37,0,0
30.69,30.37,0,0
30.69,30.37,0,0
30.69,30.37,0,0
30.69,30.31,0,0
30.62,30.31,0,0
30.62,30.31,0,0
30.62,30.31,0,0
30.56,30.31,0,0
30.56,30.31,0,0
30.56,30.25,0,0
30.56,30.25,0,0
30.50,30.25,0,0
30.50,30.25,0,0
30.50,30.25,0,0
30.50,30.25,0,0
30.50,30.25,0,0
30.50,30.25,0,0
30.50,30.25,0,0
30.44,30.25,0,0
30.44,30.25,0,0
30.44,30.25,0,0
30.44,30.25,0,0
30.44,30.19,0,0
30.44,30.25,0,0
30.44,30.19,0,0
30.44,30.19,0,0
30.44,30.19,0,0
30.44,30.19,0,0
30.37,30.19,0,0
30.37,30.19,0,0
30.37,30.19,0,0
30.37,30.19,0,0
30.37,30.19,0,0
30.37,30.19,0,0
30.37,30.19,0,0
30.37,30.19,0,0
30.37,30.19,0,0
30.31,30.19,0,0
30.31,30.19,0,0
30.31,30.12,0,0
30.31,30.12,0,0
30.31,30.12,0,0
30.31,30.12,0,0
30.25,30.12,0,0
30.25,30.06,0,0
30.25,30.12,0,0
30.25,30.06,0,0
30.19,30.06,0,0
30.25,30.06,0,0
30.25,30.06,0,0
30.25,30.06,0,0
30.25,30.06,0,0
30.25,30.06,0,0
30.25,30.06,0,0
30.25,30.06,0,0
30.25,30.06,0,0
30.19,30.06,0,0
30.19,30.06,0,0
30.19,30.06,0,0
30.19,30.06,0,0
30.19,30.06,0,0
30.19,30.06,0,0
30.19,30.06,0,0
30.12,30.06,0,0
30.12,30.00,0,0
30.12,30.06,0,0
30.12,30.00,0,0
30.12,30.00,0,0
30.12,30.00,0,0
30.12,30.00,0,0
30.12,30.00,0,0
30.12,30.00,0,0
30.12,30.00,0,0
30.12,30.00,0,0
30.12,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,30.00,0,0
30.06,29.94,0,0
30.06,30.00,0,0
30.06,29.94,0,0
30.06,29.94,0,0
30.06,30.00,0,0
30.00,29.94,0,0
30.00,29.94,0,0
30.00,29.94,0,0
30.00,29.87,0,0
29.94,29.87,0,0
29.94,29.87,0,0
29.94,29.87,0,0
29.94,29.81,0,0
29.94,29.87,0,0
29.94,29.81,0,0
29.87,29.81,0,0
29.87,29.81,0,0
29.87,29.81,0,0
29.87,29.81,0,0
29.87,29.81,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.81,29.75,0,0
29.75,29.75,0,0
29.81,29.75,0,0
29.75,29.75,0,0
29.75,29.75,0,0
29.75,29.75,0,0
29.75,29.69,0,0
29.75,29.69,0,0
29.75,29.69,0,0
29.75,29.69,0,0
29.75,29.69,0,0
29.75,29.75,0,0
29.75,29.75,0,0
29.75,29.69,0,0
29.75,29.69,0,0
29.75,29.69,0,0
29.69,29.62,0,0
29.69,29.62,0,0
29.69,29.62,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.75,29.69,0,0
29.75,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.75,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.62,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.62,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.69,0,0
29.69,29.62,0,0
29.69,29.62,0,0
29.69,29.62,0,0
29.69,29.62,0,0
29.69,29.62,0,0
29.69,29.62,0,0
29.62,29.62,0,0
29.62,29.62,0,0
29.62,29.62,0,0
29.69,29.62,0,0
29.62,29.62,0,0
29.62,29.62,0,0
29.62,29.62,0,0
29.62,29.56,0,0
29.62,29.62,0,0
29.62,29.56,0,0
29.62,29.62,0,0
29.62,29.62,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.62,29.62,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.50,0,0
29.56,29.56,0,0
29.56,29.56,0,0
29.56,29.50,0,0
29.56,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,0,0
29.50,29.50,1,0
29.50,29.50,1,0
29.50,29.50,1,0
29.50,29.50,1,0
29.56,29.50,1,0
29.56,29.50,1,0
29.69,29.50,1,0
29.75,29.50,1,0
29.87,29.50,1,0
30.00,29.50,1,0
30.12,29.50,1,0
30.25,29.50,1,0
30.37,29.50,1,0
30.50,29.50,1,0
30.62,29.50,1,0
30.81,29.50,1,0
30.94,29.50,1,0
31.12,29.50,1,0
31.25,29.50,1,0
31.44,29.50,1,0
31.56,29.50,1,0
31.75,29.50,1,0
31.87,29.50,1,0
32.00,29.50,1,0
32.13,29.50,1,0
32.31,29.50,1,0
32.44,29.50,1,0
32.56,29.50,1,0
32.75,29.50,1,0
32.88,29.50,1,0
33.00,29.50,1,0
33.19,29.50,1,0
33.31,29.50,1,0
33.44,29.50,1,0
33.56,29.50,1,0
33.69,29.56,1,0
33.88,29.56,1,0
34.00,29.56,1,0
34.13,29.56,1,0
34.25,29.56,1,0
34.38,29.56,1,0
34.50,29.56,1,0
34.63,29.56,1,0
34.75,29.62,1,0
34.88,29.62,1,0
35.00,29.62,1,0
35.13,29.62,1,0
35.25,29.62,1,0
35.38,29.62,1,0
